Fecha;Portafolio;ASSETCLASS;Numtit;Titulo; Nominal ; VPNOrigen ; VPNLocal 
28/02/2019;ACUAVALLE;BONOS FIJOS;260;BLGC109SA10; 300.000.000 ; 330.492.000 ; 330.492.000 
28/02/2019;ACUAVALLE;D PUB INFLACIÓN;568;BTSE01119A10; 500.000.000 ; 524.910.000 ; 524.910.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;571;BCOL1099A10; 1.500.000.000 ; 1.536.780.000 ; 1.536.780.000 
28/02/2019;ACUAVALLE;D PUB INFLACIÓN;574;BISA07049A; 662.000.000 ; 720.957.720 ; 720.957.720 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;581;BLGC03119D12; 1.000.000.000 ; 1.072.350.000 ; 1.072.350.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;582;BCCB01129C10; 1.000.000.000 ; 1.046.990.000 ; 1.046.990.000 
28/02/2019;ACUAVALLE;LIQUIDEZ;587;COHCOLP; 63.831.870 ; 63.831.870 ; 63.831.870 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;599;BGAN01129C7; 1.000.000.000 ; 1.015.140.000 ; 1.015.140.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;600;BCHB1129B10; 500.000.000 ; 521.175.000 ; 521.175.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;670;BSIS01149D05; 500.000.000 ; 503.135.000 ; 503.135.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;708;BTPL01159D07; 300.000.000 ; 304.842.000 ; 304.842.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;710;BPMG01159A07; 500.000.000 ; 517.995.000 ; 517.995.000 
28/02/2019;ACUAVALLE;BONOS FIJOS;718;TIPN11A25A; 500.000.000 ; 161.830.453 ; 161.830.453 
28/02/2019;ACUAVALLE;BONOS FIJOS;722;CDTFIJO; 500.000.000 ; 506.625.000 ; 506.625.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;732;TIPU1A25; 2.000.000 ; 684.120 ; 179.463.350 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;741;CDTIPC365; 500.000.000 ; 513.725.000 ; 513.725.000 
